ID,阶段,优先级,任务,主要交付物,依赖,预估人日,验收标准
T001,工程基础,P0,初始化 Monorepo 与开发规范,apps/packages/deploy 目录和统一脚本,无,1,前后端可分别启动且提交检查通过
T002,工程基础,P0,建立 Docker Compose 开发环境,PostgreSQL Redis API Worker Caddy 配置,T001,2,新环境一条命令启动并通过健康检查
T003,前端,P0,将当前 HTML 原型迁移为 React 路由和布局,全局布局导航设计 Token 与 20 个路由骨架,T001,4,视觉与当前原型一致且全部路由可访问
T004,后端,P0,搭建 FastAPI 分层结构,配置异常处理日志健康检查和 OpenAPI,T001,2,API 可启动且健康检查和文档可访问
T005,数据,P0,建立核心数据库模型和迁移,用户项目需求文档任务流程 Agent 审查审计表,T004,4,Alembic 可从空库完整升级和回滚
T006,安全,P0,实现登录用户角色与 Cookie 会话,登录退出当前用户和基础 RBAC,T005,4,未登录不可访问 API 且角色权限生效
T007,项目,P0,实现项目和成员管理,项目 CRUD 成员 仓库 环境接口与页面,T003|T005|T006,4,可创建项目并分配成员和仓库
T008,Git 集成,P0,实现 GitHub 仓库连接,Token 加密 仓库验证 分支和 PR 查询,T007,4,可以连接真实测试仓库并读取分支
T009,需求,P0,实现需求录入和版本管理,需求 CRUD 草稿 澄清问题和版本记录,T003|T005,5,需求可保存修改且历史版本可追踪
T010,AI 文档,P0,实现模型网关和结构化输出,模型配置 Pydantic 输出校验 重试和费用记录,T004|T005,4,可调用配置模型并记录 Token 成本
T011,AI 文档,P0,实现 PRD 生成与编辑,PRD Prompt Markdown 文档版本和评论,T009|T010,5,需求可生成 PRD 并人工修改保存
T012,AI 文档,P0,实现技术方案生成,架构 数据 API 安全 测试策略文档,T011,4,已批准 PRD 可生成技术方案版本
T013,工作流,P0,实现固定研发状态机,流程实例 步骤 门禁 驳回和继续接口,T005|T011,5,流程按配置推进且非法流转被拒绝
T014,审查,P0,实现审查中心,审查列表 通过 驳回 评论和通知,T013|T003,4,审批后流程自动进入正确阶段并写审计
T015,任务,P0,实现 AI 任务拆分,任务结构 依赖图 Agent 推荐和看板,T012|T010,5,技术方案可生成无循环依赖的任务清单
T016,Agent,P0,接入 OpenHands Agent Server,会话创建 状态同步 暂停取消和错误处理,T004|T010,6,可创建真实 Agent Run 并获取事件
T017,Agent,P0,实现 Worker 队列和并发控制,RQ 队列 重试 锁 超时和并发配额,T002|T016,4,长任务重启后可恢复且并发不超限
T018,Agent,P0,实现编码任务上下文组装,仓库任务 PRD 技术方案 验收标准传递,T015|T016|T008,5,Agent 能在隔离工作区完成一次代码修改
T019,日志,P0,实现 Agent Run 实时事件,SSE 接口 步骤 工具调用 日志和费用页面,T016|T017|T003,4,前端可实时看到执行状态且刷新不丢失
T020,Git 集成,P0,实现 Commit Diff 和 PR 创建,变更摘要 人工确认 创建 PR 和关联资产,T018|T008,4,Agent 结果经人工确认后可创建真实 PR
T021,测试,P0,实现测试运行和结果解析,测试计划 用例 运行结果 日志和失败归因,T018|T017,5,支持 Pytest Vitest Playwright 结果入库展示
T022,代码审查,P0,实现 AI Review 和质量门禁,Diff 审查问题 严重级别 修复建议和门禁,T020|T021|T010,5,阻断问题可阻止审查通过
T023,发布,P1,实现环境和发布记录,发布单 测试摘要 外部 CI 链接和人工确认,T020|T021,4,可创建发布记录并关联需求和 PR
T024,知识库,P1,实现项目文档全文检索,文档索引 权限过滤 搜索和引用来源,T005|T011,4,Agent 可检索项目内授权文档
T025,审计,P0,实现不可变审计日志,登录 审批 权限 Agent Git 发布审计,T006|T013|T016,3,关键动作均包含操作者资源结果和时间
T026,系统配置,P1,实现模型 Agent 和预算配置,模型供应商 Agent Profile Prompt 预算页面,T010|T016,4,管理员可配置模型和任务预算
T027,前端,P1,完成 Dashboard 与运营指标,项目任务 Agent 测试成本指标接口和页面,T007|T015|T019|T021,4,Dashboard 展示真实数据并支持时间筛选
T028,集成,P1,实现飞书通知,审批 Agent 失败 测试失败和发布通知,T014|T019|T023,3,测试群可收到结构化消息和链接
T029,质量,P0,补齐后端单元与集成测试,领域服务 API 权限 状态机和队列测试,T006-T025,6,核心模块覆盖率不低于 75%
T030,质量,P0,补齐前端和端到端测试,表单 状态流转 审批 Agent 测试 PR 主链路,T003-T027,5,关键闭环 E2E 在 CI 稳定通过
T031,部署,P0,完成生产镜像和 Caddy 配置,多阶段镜像 HTTPS 代理 Volume 和环境变量,T002|T029|T030,4,新服务器按文档 30 分钟内完成部署
T032,部署,P0,完成备份恢复和运维手册,数据库文件备份 恢复 升级 回滚和排障文档,T031,3,演练可以从备份恢复到新实例
T033,验收,P0,执行 MVP 业务验收,完整演示数据 冒烟测试 缺陷清单和验收报告,T001-T032,4,10 项 MVP 验收标准全部通过
